account_id,customer_id,customer_name,account_type,account_open_date,kyc_status,risk_rating,registered_country,avg_monthly_txn_count,avg_monthly_txn_amount,home_branch,occupation,annual_income
ACC000196,CUST100195,Tripti Dua,savings,2022-12-14,verified,medium,India,8,80776.23,Ahmedabad - Sector 5 Branch,Salaried - Finance,1954634.92
ACC000197,CUST100196,Patrick Vig,business,2021-12-19,verified,medium,India,45,23170.43,Ahmedabad - Central Branch,Salaried - Finance,1668303.85
ACC000198,CUST100197,Veda Shroff,current,2024-05-18,verified,low,India,31,128201.63,Bengaluru - Main Branch,Salaried - Govt,2418201.21
ACC000199,CUST100198,Amrita Naidu,current,2020-03-04,verified,low,India,26,237133.37,Jaipur - Central Branch,Student,3834433.61
ACC000200,CUST100199,Gabriel Mallick,business,2019-04-07,rejected,low,India,12,158130.48,Lucknow - Main Branch,Salaried - Finance,583610.72
ACC000201,CUST100200,Yagnesh Shetty,current,2017-11-13,verified,low,India,46,157997.4,Lucknow - Sector 5 Branch,Freelancer,3819729.62
ACC000202,CUST100201,Gayathri Balakrishnan,savings,2024-08-03,pending,low,India,6,237393.98,Lucknow - MG Road Branch,Student,2992881.5
ACC000203,CUST100202,Ekta Gopal,salary,2024-09-25,verified,low,India,60,158655.18,Hyderabad - Sector 5 Branch,Student,2266321.61
ACC000204,CUST100203,Simon Pant,savings,2021-11-28,verified,low,India,14,112703.35,Ahmedabad - Sector 5 Branch,Homemaker,1061379.42
ACC000205,CUST100204,Harini Mammen,business,2017-06-11,verified,low,India,29,37037.71,Pune - Main Branch,Salaried - Finance,2606333.25
ACC000206,CUST100205,Advaith Varughese,salary,2020-06-05,verified,low,India,19,39515.02,Bengaluru - Main Branch,Student,4264062.74
ACC000207,CUST100206,Frederick Khurana,current,2022-02-11,pending,low,India,56,85221.78,Lucknow - MG Road Branch,Freelancer,1000083.32
ACC000208,CUST100207,Vrinda Khosla,salary,2017-09-17,verified,low,India,60,80592.42,Bengaluru - Central Branch,Salaried - Govt,4263405.71
ACC000209,CUST100208,Vritti Sem,business,2023-08-07,verified,low,India,7,17382.4,Ahmedabad - Main Branch,Unemployed,3991706.54
ACC000210,CUST100209,Girik Menon,savings,2023-01-03,verified,low,India,31,37814.06,Hyderabad - MG Road Branch,Freelancer,3479861.22
ACC000211,CUST100210,Nidhi Kohli,current,2021-03-23,verified,low,India,27,140539.62,Mumbai - MG Road Branch,Retired,2358383.89
ACC000212,CUST100211,Jyoti Solanki,savings,2024-05-09,rejected,low,India,12,243895.29,Kolkata - Central Branch,Freelancer,3613956.03
ACC000213,CUST100212,Pavani Narayanan,current,2020-10-08,verified,low,India,16,152603.42,Kolkata - Central Branch,Salaried - Finance,353901.19
ACC000214,CUST100213,Sudiksha Madan,salary,2015-08-30,verified,low,India,37,116962.2,Lucknow - Sector 5 Branch,Salaried - Finance,783853.86
ACC000215,CUST100214,Zayan Kashyap,business,2020-06-02,rejected,low,India,41,87411.5,Jaipur - MG Road Branch,Salaried - Finance,2296137.54
ACC000216,CUST100215,Reyansh Mutti,business,2024-07-29,verified,low,India,25,170082.57,Kolkata - Sector 5 Branch,Unemployed,1509168.24
ACC000217,CUST100216,Qasim Handa,current,2015-06-15,verified,low,India,50,17582.02,Ahmedabad - Sector 5 Branch,Self Employed - Trader,2444683.68
ACC000218,CUST100217,Veda Malhotra,savings,2021-06-20,verified,low,India,40,237310.27,Mumbai - Main Branch,Business Owner,261809.43
ACC000219,CUST100218,Harish Hari,current,2020-05-03,verified,low,India,30,127945.78,Lucknow - Main Branch,Homemaker,3950572.5
ACC000220,CUST100219,Utkarsh Patel,business,2016-01-23,verified,medium,India,46,122200.89,Kolkata - MG Road Branch,Freelancer,4312881.33
